2018-10-19 14:15:33 --> VendorID: 1 || passenger_count: 1 || trip_distance: 1.6 || RatecodeID: 1.0 || store_and_fwd_flag: True || PULocationID: 237 || DOLocationID: 100 || payment_type: 2 || fare_amount: 15.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 15.8 || DOdatetime: 2018-10-19 14:39:49 || trip_duration: 24 ||
2018-04-13 17:45:29 --> VendorID: 1 || passenger_count: 1 || trip_distance: 2.2 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 163 || DOLocationID: 68 || payment_type: 2 || fare_amount: 14.5 || extra: 1.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 16.3 || DOdatetime: 2018-04-13 18:08:07 || trip_duration: 22 ||
2018-08-13 18:55:01 --> VendorID: 2 || passenger_count: 1 || trip_distance: 8.86 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 164 || DOLocationID: 138 || payment_type: 1 || fare_amount: 26.0 || extra: 1.0 || mta_tax: 0.5 || tip_amount: 6.71 || tolls_amount: 5.76 || improvement_surcharge: 0.3 || total_amount: 40.27 || DOdatetime: 2018-08-13 19:13:08 || trip_duration: 18 ||
2018-05-28 17:55:07 --> VendorID: 2 || passenger_count: 1 || trip_distance: 6.5 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 138 || DOLocationID: 145 || payment_type: 1 || fare_amount: 23.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 4.86 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 29.16 || DOdatetime: 2018-05-28 18:20:58 || trip_duration: 25 ||
2018-10-24 20:53:50 --> VendorID: 2 || passenger_count: 5 || trip_distance: 1.39 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 231 || DOLocationID: 249 || payment_type: 2 || fare_amount: 7.0 || extra: 0.5 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 8.3 || DOdatetime: 2018-10-24 21:00:20 || trip_duration: 6 ||
2018-04-12 10:22:43 --> VendorID: 2 || passenger_count: 2 || trip_distance: 0.88 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 246 || DOLocationID: 50 || payment_type: 1 || fare_amount: 6.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 1.36 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 8.16 || DOdatetime: 2018-04-12 10:29:00 || trip_duration: 6 ||
2018-04-14 12:48:11 --> VendorID: 2 || passenger_count: 1 || trip_distance: 2.31 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 234 || DOLocationID: 237 || payment_type: 2 || fare_amount: 11.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 12.3 || DOdatetime: 2018-04-14 13:02:42 || trip_duration: 14 ||
2018-06-06 21:25:51 --> VendorID: 1 || passenger_count: 1 || trip_distance: 1.3 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 249 || DOLocationID: 107 || payment_type: 1 || fare_amount: 8.5 || extra: 0.5 || mta_tax: 0.5 || tip_amount: 1.96 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 11.76 || DOdatetime: 2018-06-06 21:36:04 || trip_duration: 10 ||
2018-01-29 13:04:48 --> VendorID: 2 || passenger_count: 1 || trip_distance: 0.88 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 163 || DOLocationID: 142 || payment_type: 2 || fare_amount: 8.0 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 8.8 || DOdatetime: 2018-01-29 13:15:06 || trip_duration: 10 ||
2018-03-31 00:16:43 --> VendorID: 2 || passenger_count: 5 || trip_distance: 1.78 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 148 || DOLocationID: 249 || payment_type: 2 || fare_amount: 10.0 || extra: 0.5 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 11.3 || DOdatetime: 2018-03-31 00:30:21 || trip_duration: 13 ||
2018-06-26 16:04:34 --> VendorID: 2 || passenger_count: 2 || trip_distance: 0.65 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 74 || DOLocationID: 74 || payment_type: 2 || fare_amount: 5.0 || extra: 1.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 6.8 || DOdatetime: 2018-06-26 16:09:38 || trip_duration: 5 ||
2018-04-14 14:59:30 --> VendorID: 1 || passenger_count: 1 || trip_distance: 1.9 || RatecodeID: 1.0 || store_and_fwd_flag: False || PULocationID: 90 || DOLocationID: 230 || payment_type: 2 || fare_amount: 11.5 || extra: 0.0 || mta_tax: 0.5 || tip_amount: 0.0 || tolls_amount: 0.0 || improvement_surcharge: 0.3 || total_amount: 12.3 || DOdatetime: 2018-04-14 15:15:09 || trip_duration: 15 ||
